date,state,industry,employed_thousands
2007Q1,Queensland,Accommodation and Food Services,112.12604566
2007Q1,Queensland,Construction,222.50150436
2007Q1,Queensland,Education and Training,144.26742126
2007Q1,Queensland,Health Care and Social Assistance,206.63812005
2007Q1,Queensland,Manufacturing,175.07993895
2007Q1,Queensland,"Professional, Scientific and Technical Services",126.57945198
2007Q1,Victoria,Accommodation and Food Services,136.1379129
2007Q1,Victoria,Construction,229.08062794
2007Q1,Victoria,Education and Training,181.92945467
2007Q1,Victoria,Health Care and Social Assistance,270.39657845
2007Q1,Victoria,Manufacturing,321.02812835
2007Q1,Victoria,"Professional, Scientific and Technical Services",189.90303173
2007Q2,New South Wales,Accommodation and Food Services,170.55038566000002
2007Q2,New South Wales,Construction,286.59629768
2007Q2,New South Wales,Education and Training,234.59242617
2007Q2,New South Wales,Health Care and Social Assistance,361.47239774
2007Q2,New South Wales,Manufacturing,295.07834866
2007Q2,New South Wales,"Professional, Scientific and Technical Services",252.07853369
2007Q2,Queensland,Accommodation and Food Services,112.27062569
2007Q2,Queensland,Construction,224.36413093
2007Q2,Queensland,Education and Training,153.24523123
2007Q2,Queensland,Health Care and Social Assistance,219.44580395
2007Q2,Queensland,Manufacturing,187.59759196
2007Q2,Queensland,"Professional, Scientific and Technical Services",128.21840424
2007Q2,Victoria,Accommodation and Food Services,138.21819416
2007Q2,Victoria,Construction,215.35741508
2007Q2,Victoria,Education and Training,200.70314559999997
2007Q2,Victoria,Health Care and Social Assistance,264.71824844
2007Q2,Victoria,Manufacturing,335.20444676
2007Q2,Victoria,"Professional, Scientific and Technical Services",195.59637151
2007Q3,New South Wales,Accommodation and Food Services,168.70597906
2007Q3,New South Wales,Construction,279.44212308
2007Q3,New South Wales,Education and Training,226.88380534
2007Q3,New South Wales,Health Care and Social Assistance,342.74756432
2007Q3,New South Wales,Manufacturing,307.92647829
2007Q3,New South Wales,"Professional, Scientific and Technical Services",246.38981399
2007Q3,Queensland,Accommodation and Food Services,122.67695801
2007Q3,Queensland,Construction,220.14732471
2007Q3,Queensland,Education and Training,156.66472261
2007Q3,Queensland,Health Care and Social Assistance,218.17401764
2007Q3,Queensland,Manufacturing,182.74620411
2007Q3,Queensland,"Professional, Scientific and Technical Services",137.75601981
2007Q3,Victoria,Accommodation and Food Services,137.87824734999998
2007Q3,Victoria,Construction,211.22053257
2007Q3,Victoria,Education and Training,199.90901212
2007Q3,Victoria,Health Care and Social Assistance,264.56971486
2007Q3,Victoria,Manufacturing,319.79557738
